coupled_window_length_um,lq_nh,fq_ghz,re_y_dm_s
150.0,10.25,3.934989374316349,5.057264123644799e-11
200.0,10.25,3.934989392110363,5.058335885558174e-11
250.00000000000003,10.25,3.9349895019568004,5.0616686948384404e-11
300.0,10.25,3.934989515789377,5.062915553605093e-11
350.0,10.25,3.9349895270667434,5.064153059734321e-11
400.0,10.25,3.9349896287024038,5.0675504462017e-11
450.0,10.25,3.9349896348722813,5.0687999611363365e-11
500.00000000000006,10.25,3.9349896410730936,5.070126966283003e-11
550.0,10.25,3.934989734530947,5.073457924236076e-11
600.0,10.25,3.9349897357368686,5.0747180777792456e-11
